"Лопата копально-подборочная или «американка» ЛПК "Метид" ГОСТ 19596-87 + Видеообзор Лопата копально-подборочная или «американка» ЛПК "Метид" ГОСТ 19596-87 + Видеообзор","69","https://prom.ua/p64027418-lopata-kopalno-podborochnaya.html","https://images.ua.prom.st/792713510_w640_h640_lopata-kopalno-podborochnaya-ili.jpg","false","46.5","46.5"
"Легкая и прочная лопата Buffalo, вес 800 г., длинна 70 см., лучше чем Fiskars!","Buffalo 70","https://prom.ua/p538745663-legkaya-prochnaya-lopata.html","https://images.ua.prom.st/799697651_w640_h640_legkaya-i-prochnaya.jpg","true","259.0","349.0"
"Лопата штыковая Fiskars Ergo (131410) Лопата штыковая Fiskars Ergo (131410)","131410","https://prom.ua/p273994441-lopata-shtykovaya-fiskars.html","https://images.ua.prom.st/875322481_w640_h640_lopata-shtykovaya-fiskars.jpg","false","749.0","849.0"
"Чудо лопата пахарь","1383","https://prom.ua/p686428369-chudo-lopata-pahar.html","https://images.ua.prom.st/1125265153_w640_h640_chudo-lopata-pahar.jpg","true","350.0","350.0"
"Лопата штыковая Mastertool - 242 x 290 мм, ручка нержавейка Лопата штыковая Mastertool - 242 x 290 мм, ручка нержавейка","14-6274","https://prom.ua/p725356066-lopata-shtykovaya-mastertool.html","https://images.ua.prom.st/1597984569_w640_h640_lopata-sapernaya-fiskars.jpg","true","499.0","549.0"
"Лопата саперная Fiskars Solid (131417)","131413","https://prom.ua/p893336987-lopata-sapernaya-fiskars.html","https://images.ua.prom.st/1597984569_w640_h640_lopata-sapernaya-fiskars.jpg","true","499.0","549.0"
"Лопата Fiskars Solid, штыковая (131413)","131413","https://prom.ua/p798337771-lopata-fiskars-solid.html","https://images.ua.prom.st/1597242531_w640_h640_lopata-fiskars-solid.jpg","true","469.0","549.0"
"Чудо лопата пахарь 9 зубов","13839","https://prom.ua/p694950582-chudo-lopata-pahar.html","https://images.ua.prom.st/1125265153_w640_h640_chudo-lopata-pahar.jpg","true","370.0","370.0"
"Совок автомобильный для снега Fiskars (141020) Совок автомобильный для снега Fiskars (141020)","141020","https://prom.ua/p274635103-sovok-avtomobilnyj-dlya.html","https://images.ua.prom.st/396502782_w640_h640_sovok-avtomobilnyj-dlya.jpg","false","649.0","749.0"
"Лопата штыковая Американка (нержав.) Лопата штыковая Американка (нержав.)","07-007","https://prom.ua/p20889107-lopata-shtykovaya-amerikanka.html","https://images.ua.prom.st/38527929_w640_h640_lopata-shtykovaya-amerikanka.jpg","false","210.18","226.0"
"Универсальная многофункциональная тактическая лопата для выживания 13 в 1 Универсальная многофункциональная тактическая лопата для выживания 13 в 1","0036012","https://prom.ua/p800187703-universalnaya-mnogofunktsionalnaya-takticheskaya.html","https://images.ua.prom.st/1377759526_w640_h640_universalnaya-mnogofunktsionalnaya-takticheskaya.jpg","true","600.0","600.0"
"Лопата снегоуборочная алюминиевая трехбортная подогнута с деревянной ручкой (АМГ3) 500х390мм","","https://prom.ua/p864754364-lopata-snegouborochnaya-alyuminievaya.html","https://images.ua.prom.st/1527261923_w640_h640_lopata-snegouborochnaya-alyuminievaya.jpg","true","600.0","600.0"
"Лопата совковая Verto - ручка металл Лопата совковая Verto - ручка металл","15G012","https://prom.ua/p702480218-lopata-sovkovaya-verto.html","https://images.ua.prom.st/1727491639_w640_h640_lopata-sovkovaya-verto.jpg","false","903.0","903.0"
"Чудо-лопата отвальная разборная Пахарь","","https://prom.ua/p311362548-chudo-lopata-otvalnaya.html","https://images.ua.prom.st/1611278784_w640_h640_chudo-lopata-otvalnaya-razbornaya.jpg","true","375.0","375.0"
"Чудо-лопата "Крот" Чудо-лопата "Крот"","","https://prom.ua/p85386284-chudo-lopata-krot.html","https://images.ua.prom.st/180433264_w640_h640_chudo-lopata-krot.jpg","false","500.0","500.0"
"Скребок для чистки снега","mast-829078787","https://prom.ua/p945869682-skrebok-dlya-chistki.html","https://images.ua.prom.st/1847690589_w640_h640_skrebok-dlya-chistki.jpg","true","1810.0","1810.0"
"Лопата Fiskars Solid штыковая (131413)","131413","https://prom.ua/p32185287-lopata-fiskars-solid.html","https://images.ua.prom.st/127261982_w640_h640_lopata-fiskars-solid.jpg","true","475.0","475.0"
"Чудо лопата","1383","https://prom.ua/p263811547-chudo-lopata.html","https://images.ua.prom.st/381744061_w640_h640_chudo-lopata.jpg","true","350.0","350.0"
"Сталь КСР-04/50 Компрессор","BP69433","https://prom.ua/p914518548-stal-ksr-0450.html","https://images.ua.prom.st/1880954320_w640_h640_stal-ksr-0450-kompressor.jpg","true","6870.54","7897.17241"
"Чудо лопата (Чудо-лопата) 7 зубов Чудо лопата (Чудо-лопата) 7 зубов","07-082","https://prom.ua/p520255281-chudo-lopata-chudo.html","https://images.ua.prom.st/779348149_w640_h640_chudo-lopata-chudo-lopata.jpg","false","396.18","426.0"
"Лопата совковая Foresta SS-1101","SS-1101","https://prom.ua/p944634058-lopata-sovkovaya-foresta.html","https://images.ua.prom.st/1736378088_w640_h640_lopata-sovkovaya-foresta.jpg","true","309.0","309.0"
"Скребок для чистки снега","mast-829078787","https://prom.ua/p830904732-skrebok-dlya-chistki.html","https://images.ua.prom.st/1847771311_w640_h640_skrebok-dlya-chistki.jpg","true","1810.0","1810.0"
"Лопатка Biedronka BL01","AM37594","https://prom.ua/p923231629-lopatka-biedronka-bl01.html","https://images.ua.prom.st/1664246766_w640_h640_lopatka-biedronka-bl01.jpg","true","25.0","25.0"
"Лопата складывающаяся, Лопата складається, Сезонные аксесуары","C239","https://prom.ua/p868375596-lopata-skladyvayuschayasya-lopata.html","https://images.ua.prom.st/1535704309_w640_h640_lopata-skladyvayuschayasya-lopata.jpg","true","349.0","449.0"
"Чудо вилы 7 зубов (серый)","","https://prom.ua/p686428370-chudo-vily-zubov.html","https://images.ua.prom.st/1125265395_w640_h640_chudo-vily-7.jpg","true","340.0","340.0"
"Лопата совковая 0,8 кг INTERTOOL FT-2005","FT-2005","https://prom.ua/p766846996-lopata-sovkovaya-intertool.html","https://images.ua.prom.st/1298435313_w640_h640_lopata-sovkovaya-08.jpg","true","69.0","75.0"
"Компрессор Forte ZA 65-51","BP81649","https://prom.ua/p914522150-kompressor-forte.html","https://images.ua.prom.st/1880954758_w640_h640_kompressor-forte-za.jpg","true","7254.01","8337.94253"
"Лопата с закругленным лезвием Fiskars Ergonomic 131400","","https://prom.ua/p902182242-lopata-zakruglennym-lezviem.html","https://images.ua.prom.st/1782019747_w640_h640_lopata-s-zakruglennym.jpg","true","645.0","680.0"
"Лопата складывающаяся","","https://prom.ua/p573395095-lopata-skladyvayuschayasya.html","https://images.ua.prom.st/1782019747_w640_h640_lopata-s-zakruglennym.jpg","true","645.0","680.0"
"Лопата Fiskars Solid штыковая (131413)","131413","https://prom.ua/p108077716-lopata-fiskars-solid.html","https://images.ua.prom.st/190661500_w640_h640_lopata-fiskars-solid.jpg","false","125.0","125.0"
"Лопата дамская (свекольная) из рельсовой стали (оригинал) "МАТиК" Лопата дамская (свекольная) из рельсовой стали (оригинал) "МАТиК"","1242","https://prom.ua/p410848735-lopata-damskaya-svekolnaya.html","https://images.ua.prom.st/580588316_w640_h640_lopata-damskaya-svekolnaya.jpg","false","125.0","125.0"
"Лопата для уборки снега 620*280мм с ручкой 970 мм INTERTOOL FT-2090 Лопата для уборки снега 620*280мм с ручкой 970 мм INTERTOOL FT-2090","FT-2090","https://prom.ua/p894072676-lopata-dlya-uborki.html","https://images.ua.prom.st/1599175344_w640_h640_lopata-dlya-uborki.jpg","false","349.0","349.0"
"Лопата штыковая Fiskars Solid (131413) Лопата штыковая Fiskars Solid (131413)","131413","https://prom.ua/p273965155-lopata-shtykovaya-fiskars.html","https://images.ua.prom.st/875321631_w640_h640_lopata-shtykovaya-fiskars.jpg","false","499.0","599.0"
"Лопата штыковая из рельсовой стали "Забайкалресурс"","","https://prom.ua/p692277450-lopata-shtykovaya-relsovoj.html","https://images.ua.prom.st/1139327016_w640_h640_lopata-shtykovaya-iz.jpg","true","130.0","130.0"
"Многофункциональная лопата складная для автомобиля туристическая","pan--528278076","https://prom.ua/p991979882-mnogofunktsionalnaya-lopata-skladnaya.html","https://images.ua.prom.st/1849147894_w640_h640_mnogofunktsionalnaya-lopata-skladnaya.jpg","true","3120.0","3120.0"
"Лопата штыковая My Garden Woody Изогнутая 1200 мм 211-3-1200","211-3-1200","https://prom.ua/p943245962-lopata-shtykovaya-garden.html","https://images.ua.prom.st/1715030262_w640_h640_lopata-shtykovaya-my.jpg","true","320.0","320.0"
"Чудо лопата пахарь 7 зубов","1383","https://prom.ua/p797208641-chudo-lopata-pahar.html","https://images.ua.prom.st/1125265158_w640_h640_chudo-lopata-pahar.jpg","true","350.0","350.0"
"Лопата совковая Foresta SS-1131","79968000","https://prom.ua/p945089690-lopata-sovkovaya-foresta.html","https://images.ua.prom.st/1719604719_w640_h640_lopata-sovkovaya-foresta.jpg","true","393.0","393.0"
"Лопата Штыковая Fiskars Ergonomic 131410","131410","https://prom.ua/p807454275-lopata-shtykovaya-fiskars.html","https://images.ua.prom.st/1426555965_w640_h640_lopata-shtykovaya-fiskars.jpg","true","650.0","650.0"
